english,current_telugu
* 2d echo,* 2D ఎకో
* speech and language therapy,* ప్రసంగం మరియు భాషా చికిత్స
* ultrasound,* అల్ట్రాసౌండ్
"# 40,new laj pat nagar pakhowal road , ludhinana, punjab 141004","# 40, న్యూ లాజ్ పాట్ నగర్ పాక్తోవాల్ రోడ్, లూధినానా, పంజాబ్ 141004 "
"#5, lions eye hospital road (off. j.c. road), bangalore - 560002","# 5, లయన్స్ ఐ హాస్పిటల్ రోడ్ (ఆఫ్ J.C. రోడ్), బెంగళూరు - 560002 "
"1-098, cvrn road, opposite to mission hospital, karimnagar  505001, telangana","1-098, CVRN రోడ్, మిషన్ హాస్పిటల్ కు వ్యతిరేకం, కరీంనగర్ 505001, తెలంగాణ "
"1-100/1/cch , near aparna sarovar,nallagandla, hyderabad  500019, telangana","౧-౧౦౦/౧/కేచ్ , నియర్ అపర్ణ సరోవర్,నల్లగండ్ల, హైదరాబాద్  ౫౦౦౦౧౯, తెలంగాణ "
"1-raghu complex, near jail circle, alwar  301001, rajasthan","జైలు సర్కిల్ సమీపంలో 1-రాఘు కాంప్లెక్స్, అల్వార్ 301001, రాజస్థాన్ "
"1, pink avenue, majitha road, amritsar  143001, punjab","1, పింక్ వేదిక, మజిత రోడ్, అమృత్సర్ 143001, పంజాబ్ "
1.5 tesla avanto mri ( 18 channel),1.5 టెస్లా అవంట్ ఎంఆర్ఐ(MRI) (18 ఛానల్)
"1/249, new natham road, ayyerbungalow, madurai - 625017, tamil nadu","1/249, న్యూయార్క్ రోడ్, అయ్యేబెర్గ్సా, మదురై - 625017, తమిళనాడు "
"1/550, mansarover park, gt road, shahdara, delhi  110032","1/550, Mansarover పార్క్, GT రోడ్, షాదర, ఢిల్లీ 110032 "
100 feet road,100 అడుగుల రహదారి
"100 feet road, near guru nanak dev public school, bathinda  151001, punjab","100 అడుగుల రోడ్, గురు నానక్ దేవ్ పబ్లిక్ స్కూల్, బటిండా 151001, పంజాబ్ "
100% blade free lasik (intralase),100% బ్లేడ్ ఫ్రీ లాస్కిక్ (ఇంట్రాలాస్)
"101, vikas surya plaza, pitampura, near m2k pittampura, rani bagh, delhi  110034","101, వికాస్ సూర్య ప్లాజా, పిటంపూ, M2K పిట్ంపూర సమీపంలో, రాణి బాగ్, ఢిల్లీ 110034 "
"1051, gole bazar, jabalpur  482001, madhya pradesh","1051, గోల్ మార్కెట్, జబల్పూర్ 482001, మధ్యప్రదేశ్ "
