SN,tel,eng,names,finalised
0,ఎయిర్ ఫోర్స్ సెంట్రల్ మెడికల్ ఎస్టాబ్లిష్మెంట్,Air Force Central Medical Establishment,ఎయిర్ ఫోర్స్ సెంట్రల్ మెడికల్ ఎస్టాబ్లిషమెంట్,ఎయిర్ ఫోర్స్ సెంట్రల్ మెడికల్ ఎస్టాబ్లిష్మెంట్
1,"హరీష్ చందర్ మాథుర్ లేన్ డిస్పెన్సరీ, జనపథ్ ","Harish Chander Mathur Lane Dispensary, Janpath","హరీష్ చందర్ మాథుర్ లనే Dispensary, జనపథ్","హరీష్ చందర్ మాథుర్ లేన్ డిస్పెన్సరీ, జనపథ్ "
2,బాబర్ రోడ్ డిస్పెన్సరీ బాబర్ రోడ్,Babar Road Dispensary Babar Road,బాబర్ రోడ్ డిస్పెన్సరీ బాబర్ రోడ్,బాబర్ రోడ్ డిస్పెన్సరీ బాబర్ రోడ్
3,"ఆక్యుపేషనల్ హెల్త్ సెంటర్, ఎస్సార్ ఆయిల్ లిమిటెడ్ ","Occupational Health Centre, Essar Oil లిమిటెడ్","ఒకేసుపెషనల్ హెల్త్ Centre, ఎస్సార్ ఆయిల్ లిమిటెడ్","ఆక్యుపేషనల్ హెల్త్ సెంటర్, ఎస్సార్ ఆయిల్ లిమిటెడ్ "
4,నితా ఇన్స్టిట్యూట్ ఆఫ్ స్లీప్ సైన్సెస్,Nithra Institute of Sleep Sciences,మిత్ర ఇన్స్టిట్యూట్ అఫ్ స్లీప్ సైన్సెస్,నిద్రా ఇన్స్టిట్యూట్ ఆఫ్ స్లీప్ సైన్సెస్
5,"టెలిరాడ్ RX DX హెల్త్కేర్ ప్రైవేట్. లిమిటెడ్, వైట్ ఫీల్డ్ ","టెలిరాడ్ Rx Dx Healthcare ప్రైవేట్. లిమిటెడ్ ., White Field","తేలేర్డ్ థిస్ డక్ హెల్త్ కేర్ ప్రైవేట్. లిమిటెడ్ ., వైట్ ఫీల్డ్","టెలిరాడ్ RX DX హెల్త్కేర్ ప్రైవేట్. లిమిటెడ్, వైట్ ఫీల్డ్ "
6,"షెన్బాగం డయాబెటిస్ క్లినిక్ (పి) లిమిటెడ్, అన్నా నగర్ ","Shenbagam Diabetes Clinic (P) లిమిటెడ్ ., Anna Nagar","శెంబాగం డయాబెటిస్ క్లినిక్ (P) లిమిటెడ్ ., అన్న నగర్","షెన్బాగం డయాబెటిస్ క్లినిక్ (పి) లిమిటెడ్, అన్నా నగర్ "
7,"సురక్ష డయాగ్నోస్టిక్స్ పావిట్ లెఫ్టినెంట్, ఖాండః. ","Suraksha Diagnostic ప్రైవేట్. లిమిటెడ్ ., Khardah","సురక్ష డయాగ్నొస్టిక్ ప్రైవేట్. లిమిటెడ్ ., ఖర్ధహా","సురక్ష డయాగ్నోస్టిక్స్ పావిట్ లెఫ్టినెంట్, ఖాండః. "
8,"పల్స్ డయాగ్నోస్టిక్స్ ప్రైవేట్. లిమిటెడ్, లాన్స్ డౌన్ ","Pulse Diagnostics ప్రైవేట్. లిమిటెడ్ ., Lansdowne","పల్స్ దియాగ్నోస్టిక్స్ ప్రైవేట్. లిమిటెడ్ ., లాన్సడౌనె","పల్స్ డయాగ్నోస్టిక్స్ ప్రైవేట్. లిమిటెడ్, లాన్స్ డౌన్ "
9,"అపోలో మెడికల్ సెంటర్, కోరామంగళ ","Apollo Medical Centre, Koramangala","అపోలో మెడికల్ Centre, కోరమంగళ","అపోలో మెడికల్ సెంటర్, కోరామంగళ "
